2.589e-1	    2.632e-12
2.582e-1	    2.558e-12
2.576e-1	    2.485e-12
2.569e-1	    2.415e-12
2.563e-1	    2.347e-12
2.556e-1	    2.280e-12
2.550e-1	    2.215e-12
2.543e-1	    2.153e-12
2.537e-1	    2.092e-12
2.531e-1	    2.032e-12
2.524e-1	    1.975e-12
2.518e-1	    1.919e-12
2.511e-1	    1.865e-12
2.505e-1	    1.812e-12
2.498e-1	    1.760e-12
1.652e-1	    1.711e-12
1.646e-1	    1.662e-12
1.639e-1	    1.615e-12
1.633e-1	    1.569e-12
1.626e-1	    1.525e-12
1.620e-1	    1.482e-12
1.613e-1	    1.440e-12
1.607e-1	    1.399e-12
1.600e-1	    1.359e-12
1.594e-1	    1.321e-12
1.587e-1	    1.283e-12
1.581e-1	    1.247e-12
1.575e-1	    1.212e-12
1.568e-1	    1.177e-12
1.562e-1	    1.144e-12
1.555e-1	    1.112e-12
1.549e-1	    1.080e-12
1.542e-1	    1.049e-12
1.536e-1	    1.020e-12
1.529e-1	    9.908e-13
1.523e-1	    9.627e-13
1.516e-1	    9.355e-13
1.510e-1	    9.090e-13
1.503e-1	    8.832e-13
1.497e-1	    8.582e-13
1.490e-1	    8.339e-13
1.484e-1	    8.103e-13
1.477e-1	    7.873e-13
1.471e-1	    7.650e-13
1.465e-1	    7.433e-13
1.458e-1	    7.223e-13
1.452e-1	    7.018e-13
1.445e-1	    6.819e-13
1.439e-1	    6.626e-13
1.432e-1	    6.438e-13
1.426e-1	    6.256e-13
1.419e-1	    6.079e-13
1.413e-1	    5.906e-13
1.406e-1	    5.739e-13
1.400e-1	    5.577e-13
1.393e-1	    5.419e-13
1.387e-1	    5.265e-13
1.380e-1	    5.116e-13
1.374e-1	    4.971e-13
1.367e-1	    4.830e-13
1.361e-1	    4.693e-13
1.355e-1	    4.560e-13
1.348e-1	    4.431e-13
1.342e-1	    4.306e-13
1.335e-1	    4.184e-13
1.329e-1	    4.065e-13
1.322e-1	    3.950e-13
1.316e-1	    3.838e-13
1.309e-1	    3.729e-13
1.303e-1	    3.624e-13
1.296e-1	    3.521e-13
1.290e-1	    3.421e-13
1.283e-1	    3.324e-13
1.277e-1	    3.230e-13
1.270e-1	    3.139e-13
1.264e-1	    3.050e-13
1.257e-1	    2.963e-13
1.251e-1	    2.879e-13
1.245e-1	    2.798e-13
1.238e-1	    2.718e-13
1.232e-1	    2.641e-13
